seed,agent_name,alpha,beta,gamma,num_jobs,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,failure_rate,total_completed_value,total_job_value,total_compute_cost,avg_compute_cost_per_step,total_utility,completed_all_jobs,hit_step_budget
200,Reflex Agent,1.0,0.1,1.0,100,300,55,21,0.55,0.6176,0.68,0.21,181.96,294.61,397.946,1.3265,121.1654,False,True
201,Reflex Agent,1.0,0.1,1.0,100,300,67,12,0.67,0.741,0.84,0.12,230.12,310.54,1023.082,3.4103,115.8118,False,True
202,Reflex Agent,1.0,0.1,1.0,100,300,67,11,0.67,0.7533,0.82,0.11,227.91,302.55,1210.668,4.0356,95.8432,False,True
203,Reflex Agent,1.0,0.1,1.0,100,300,61,18,0.61,0.6787,0.77,0.18,205.6,302.92,553.958,1.8465,132.2042,False,True
204,Reflex Agent,1.0,0.1,1.0,100,300,62,17,0.62,0.6924,0.81,0.17,210.71,304.32,756.45,2.5215,118.065,False,True
205,Reflex Agent,1.0,0.1,1.0,100,300,54,24,0.54,0.5671,0.72,0.24,156.1,275.26,780.886,2.603,54.0114,False,True
206,Reflex Agent,1.0,0.1,1.0,100,300,61,15,0.61,0.6655,0.79,0.15,204.27,306.93,826.682,2.7556,106.6018,False,True
207,Reflex Agent,1.0,0.1,1.0,100,300,66,15,0.66,0.7281,0.82,0.15,212.36,291.65,382.33,1.2744,159.127,False,True
208,Reflex Agent,1.0,0.1,1.0,100,300,62,10,0.62,0.6542,0.81,0.1,189.83,290.15,1153.122,3.8437,64.5178,False,True
209,Reflex Agent,1.0,0.1,1.0,100,300,60,21,0.6,0.6639,0.74,0.21,197.14,296.95,546.692,1.8223,121.4708,False,True
210,Reflex Agent,1.0,0.1,1.0,100,300,68,13,0.68,0.762,0.85,0.13,227.71,298.82,1009.188,3.364,113.7912,False,True
211,Reflex Agent,1.0,0.1,1.0,100,300,66,10,0.66,0.7211,0.86,0.1,218.74,303.36,474.186,1.5806,161.3214,False,True
212,Reflex Agent,1.0,0.1,1.0,100,300,65,11,0.65,0.7063,0.85,0.11,209.55,296.7,628.078,2.0936,135.7422,False,True
213,Reflex Agent,1.0,0.1,1.0,100,300,66,12,0.66,0.7455,0.86,0.12,236.85,317.69,854.354,2.8478,139.4146,False,True
214,Reflex Agent,1.0,0.1,1.0,100,300,62,19,0.62,0.6521,0.77,0.19,199.11,305.35,526.066,1.7536,127.5034,False,True
215,Reflex Agent,1.0,0.1,1.0,100,300,64,15,0.64,0.688,0.79,0.15,204.62,297.4,848.442,2.8281,104.7758,False,True
216,Reflex Agent,1.0,0.1,1.0,100,300,63,10,0.63,0.7108,0.83,0.1,197.9,278.41,873.988,2.9133,100.5012,False,True
217,Reflex Agent,1.0,0.1,1.0,100,300,59,21,0.59,0.6465,0.78,0.21,203.94,315.43,1003.814,3.346,82.5586,False,True
